5 Minutes,Lane 1 Flow (Veh/5 Minutes)
04/01/2018 00:00:00,173
04/01/2018 00:05:00,153
04/01/2018 00:10:00,141
04/01/2018 00:15:00,144
04/01/2018 00:20:00,145
04/01/2018 00:25:00,137
04/01/2018 00:30:00,109
04/01/2018 00:35:00,122
04/01/2018 00:40:00,121
04/01/2018 00:45:00,111
04/01/2018 00:50:00,114
04/01/2018 00:55:00,93
04/01/2018 01:00:00,133
04/01/2018 01:05:00,91
04/01/2018 01:10:00,91
04/01/2018 01:15:00,99
04/01/2018 01:20:00,84
04/01/2018 01:25:00,83
04/01/2018 01:30:00,73
04/01/2018 01:35:00,73
04/01/2018 01:40:00,63
04/01/2018 01:45:00,60
04/01/2018 01:50:00,78
04/01/2018 01:55:00,76
04/01/2018 02:00:00,74
04/01/2018 02:05:00,78
04/01/2018 02:10:00,72
04/01/2018 02:15:00,65
04/01/2018 02:20:00,79
04/01/2018 02:25:00,69
04/01/2018 02:30:00,69
04/01/2018 02:35:00,76
04/01/2018 02:40:00,63
04/01/2018 02:45:00,58
04/01/2018 02:50:00,59
04/01/2018 02:55:00,46
04/01/2018 03:00:00,71
04/01/2018 03:05:00,43
04/01/2018 03:10:00,60
04/01/2018 03:15:00,50
04/01/2018 03:20:00,52
04/01/2018 03:25:00,40
04/01/2018 03:30:00,50
04/01/2018 03:35:00,49
04/01/2018 03:40:00,48
04/01/2018 03:45:00,39
04/01/2018 03:50:00,28
04/01/2018 03:55:00,33
04/01/2018 04:00:00,35
04/01/2018 04:05:00,47
04/01/2018 04:10:00,27
04/01/2018 04:15:00,36
04/01/2018 04:20:00,36
04/01/2018 04:25:00,43
04/01/2018 04:30:00,39
04/01/2018 04:35:00,32
04/01/2018 04:40:00,36
04/01/2018 04:45:00,51
04/01/2018 04:50:00,57
04/01/2018 04:55:00,36
04/01/2018 05:00:00,41
04/01/2018 05:05:00,36
04/01/2018 05:10:00,50
04/01/2018 05:15:00,56
04/01/2018 05:20:00,32
04/01/2018 05:25:00,49
04/01/2018 05:30:00,73
04/01/2018 05:35:00,56
04/01/2018 05:40:00,81
04/01/2018 05:45:00,76
04/01/2018 05:50:00,67
04/01/2018 05:55:00,83
04/01/2018 06:00:00,77
04/01/2018 06:05:00,80
04/01/2018 06:10:00,94
04/01/2018 06:15:00,88
04/01/2018 06:20:00,101
04/01/2018 06:25:00,108
04/01/2018 06:30:00,112
04/01/2018 06:35:00,124
04/01/2018 06:40:00,164
04/01/2018 06:45:00,132
04/01/2018 06:50:00,117
04/01/2018 06:55:00,130
04/01/2018 07:00:00,114
04/01/2018 07:05:00,138
04/01/2018 07:10:00,141
04/01/2018 07:15:00,138
04/01/2018 07:20:00,155
04/01/2018 07:25:00,185
04/01/2018 07:30:00,190
04/01/2018 07:35:00,195
04/01/2018 07:40:00,237
04/01/2018 07:45:00,204
04/01/2018 07:50:00,213
