Time,Lane 1 Flow (Veh/5 Minutes)
05/09/2018 09:40:00,301
05/09/2018 09:45:00,310
05/09/2018 09:50:00,320
05/09/2018 09:55:00,318
05/09/2018 10:00:00,255
05/09/2018 10:05:00,302
05/09/2018 10:10:00,360
05/09/2018 10:15:00,303
05/09/2018 10:20:00,298
05/09/2018 10:25:00,331
05/09/2018 10:30:00,298
05/09/2018 10:35:00,328
05/09/2018 10:40:00,324
05/09/2018 10:45:00,328
05/09/2018 10:50:00,347
05/09/2018 10:55:00,330
05/09/2018 11:00:00,333
05/09/2018 11:05:00,352
05/09/2018 11:10:00,354
05/09/2018 11:15:00,383
05/09/2018 11:20:00,393
05/09/2018 11:25:00,352
05/09/2018 11:30:00,370
05/09/2018 11:35:00,352
05/09/2018 11:40:00,400
05/09/2018 11:45:00,384
05/09/2018 11:50:00,415
05/09/2018 11:55:00,416
05/09/2018 12:00:00,382
05/09/2018 12:05:00,408
05/09/2018 12:10:00,416
05/09/2018 12:15:00,411
05/09/2018 12:20:00,470
05/09/2018 12:25:00,446
05/09/2018 12:30:00,436
05/09/2018 12:35:00,438
05/09/2018 12:40:00,421
05/09/2018 12:45:00,448
05/09/2018 12:50:00,475
05/09/2018 12:55:00,442
05/09/2018 13:00:00,396
05/09/2018 13:05:00,440
05/09/2018 13:10:00,491
05/09/2018 13:15:00,499
05/09/2018 13:20:00,454
05/09/2018 13:25:00,484
05/09/2018 13:30:00,470
05/09/2018 13:35:00,446
05/09/2018 13:40:00,486
05/09/2018 13:45:00,467
05/09/2018 13:50:00,500
05/09/2018 13:55:00,482
05/09/2018 14:00:00,481
05/09/2018 14:05:00,455
05/09/2018 14:10:00,569
05/09/2018 14:15:00,585
05/09/2018 14:20:00,506
05/09/2018 14:25:00,562
05/09/2018 14:30:00,572
05/09/2018 14:35:00,585
05/09/2018 14:40:00,577
05/09/2018 14:45:00,608
05/09/2018 14:50:00,596
05/09/2018 14:55:00,571
05/09/2018 15:00:00,405
05/09/2018 15:05:00,370
05/09/2018 15:10:00,392
05/09/2018 15:15:00,411
05/09/2018 15:20:00,371
05/09/2018 15:25:00,360
05/09/2018 15:30:00,365
05/09/2018 15:35:00,420
05/09/2018 15:40:00,419
05/09/2018 15:45:00,435
05/09/2018 15:50:00,482
05/09/2018 15:55:00,462
05/09/2018 16:00:00,490
05/09/2018 16:05:00,493
05/09/2018 16:10:00,488
05/09/2018 16:15:00,491
05/09/2018 16:20:00,537
05/09/2018 16:25:00,534
05/09/2018 16:30:00,499
05/09/2018 16:35:00,502
05/09/2018 16:40:00,521
05/09/2018 16:45:00,538
05/09/2018 16:50:00,515
05/09/2018 16:55:00,492
05/09/2018 17:00:00,494
05/09/2018 17:05:00,502
05/09/2018 17:10:00,488
05/09/2018 17:15:00,492
05/09/2018 17:20:00,500
05/09/2018 17:25:00,499
05/09/2018 17:30:00,526
05/09/2018 17:35:00,481
05/09/2018 17:40:00,483
05/09/2018 17:45:00,514
05/09/2018 17:50:00,474
05/09/2018 17:55:00,519
05/09/2018 18:00:00,472
05/09/2018 18:05:00,466
05/09/2018 18:10:00,467
05/09/2018 18:15:00,456
05/09/2018 18:20:00,466
05/09/2018 18:25:00,494
05/09/2018 18:30:00,496
05/09/2018 18:35:00,512
05/09/2018 18:40:00,496
05/09/2018 18:45:00,490
05/09/2018 18:50:00,497
05/09/2018 18:55:00,396
05/09/2018 19:00:00,400
05/09/2018 19:05:00,408
05/09/2018 19:10:00,410
05/09/2018 19:15:00,459
05/09/2018 19:20:00,410
05/09/2018 19:25:00,401
05/09/2018 19:30:00,368
05/09/2018 19:35:00,389
05/09/2018 19:40:00,384
05/09/2018 19:45:00,404
05/09/2018 19:50:00,419
05/09/2018 19:55:00,341
05/09/2018 20:00:00,389
05/09/2018 20:05:00,399
05/09/2018 20:10:00,391
05/09/2018 20:15:00,448
05/09/2018 20:20:00,401
05/09/2018 20:25:00,403
05/09/2018 20:30:00,298
05/09/2018 20:35:00,400
05/09/2018 20:40:00,392
05/09/2018 20:45:00,358
05/09/2018 20:50:00,366
05/09/2018 20:55:00,310
05/09/2018 21:00:00,335
05/09/2018 21:05:00,326
05/09/2018 21:10:00,384
05/09/2018 21:15:00,353
05/09/2018 21:20:00,328
05/09/2018 21:25:00,281
05/09/2018 21:30:00,343
05/09/2018 21:35:00,297
05/09/2018 21:40:00,292
05/09/2018 21:45:00,300
05/09/2018 21:50:00,286
05/09/2018 21:55:00,249
05/09/2018 22:00:00,257
05/09/2018 22:05:00,245
05/09/2018 22:10:00,246
05/09/2018 22:15:00,215
05/09/2018 22:20:00,240
05/09/2018 22:25:00,215
05/09/2018 22:30:00,185
05/09/2018 22:35:00,215
05/09/2018 22:40:00,181
05/09/2018 22:45:00,198
05/09/2018 22:50:00,136
05/09/2018 22:55:00,139
05/09/2018 23:00:00,171
05/09/2018 23:05:00,177
05/09/2018 23:10:00,194
05/09/2018 23:15:00,138
05/09/2018 23:20:00,140
05/09/2018 23:25:00,138
05/09/2018 23:30:00,131
05/09/2018 23:35:00,127
05/09/2018 23:40:00,131
05/09/2018 23:45:00,104
05/09/2018 23:50:00,122
05/09/2018 23:55:00,95
05/10/2018 00:00:00,90
05/10/2018 00:05:00,96
05/10/2018 00:10:00,100
05/10/2018 00:15:00,78
05/10/2018 00:20:00,68
05/10/2018 00:25:00,69
05/10/2018 00:30:00,74
05/10/2018 00:35:00,69
05/10/2018 00:40:00,76
05/10/2018 00:45:00,68
05/10/2018 00:50:00,67
